question,answer
「自動音声通話で受け取る」を誤ってタップした場合、どうすれば取り消せますか？［ベアーモバイルLite eSIMカンタン設定アプリ］,電話がかかってきますが、無視しても問題ありません。「メールで受け取る」を希望する場合は、そのボタンをタップして認証コードを受け取ってください。
「自動音声通話で受け取る」を誤ってタップした後、「メールで受け取る」をタップして認証コードを受け取っても大丈夫ですか？［ベアーモバイルLite eSIMカンタン設定アプリ］,問題ありません。メールで受け取った認証コードを入力してください。
「通信エラー」が表示された場合、どうすればいいですか？［ベアーモバイルLite SIMカンタン設定アプリ］,Wi-Fiの接続環境が不安定な可能性があります。Wi-Fiの接続環境が安定していることを確認し、安定した場所で操作を行ってください。
すでにベアーモバイルなどの保証サービスに加入しているiPhoneでも、「持込端末保証 supported by AppleCare Services」に申し込むことはできますか？,申し込み日の20時59分までに既存の保証サービスを解除すれば、「持込端末保証 supported by AppleCare Services」に申し込むことができます。21時以降の申し込みの場合は、翌日の20時59分までに解除手続きを行ってください。
インターネットが利用できない場合、どう対処すればいいですか？［スマートフォン/タブレット］,設定を切り替えたり、端末を再起動したり、SIMカードを再度挿し直すなどの対処法があります。
コンテンツの購入を制限（ロック）する方法はありますか？［ベアーモバイルまとめ払い］,マイページの「ご利用制限」機能を使うと、「ベアーモバイルまとめ払い」でのコンテンツ購入を制限することが可能です。
スマートフォンでのAPN設定（モバイルネットワーク設定）の手順を教えてください。,ベアーモバイルLiteの通信サービスをSIMフリーまたはSIMロック解除済みのスマートフォンで利用するためには、APN設定が必要となります。この設定はスマートフォン本体で行います。
スマートフォンでのマイページ自動ログイン設定をOFFにする方法を教えてください。,マイページにログイン後、「自動ログインの設定」から「利用しないに設定」を選択してください。
ダウンロードしたアプリケーションが起動しない場合、どうすればいいですか？［ベアーモバイルLite SIMカンタン設定アプリ］,アプリケーションが破損している可能性があります。一度アプリケーションを削除し、再度ダウンロードしてみてください。
データの容量は十分あるはずなのに、「容量が足りません」が表示されます。どうすればいいですか？［ベアーモバイルLite eSIMカンタン設定アプリ］,キャッシュなどがディスクを消費している可能性があります。OSの設定から不要なアプリやデータを削除してみてください。
データ通信量を自動で追加しない設定方法を教えてください。,オートチャージOFF（制限モード）に設定することで、データ通信量を自動で追加しないようにすることができます。
ネットワークプロバイダはどこですか？［ベアーモバイルLite eSIMカンタン設定アプリ］,ネットワークプロバイダはベアーモバイルLiteです。
パスワードを何度も間違えてしまい、「ログインを制限しました」と表示されてしまいました。どうすればよいですか？,パスワードを一定回数間違えると、そのようなメッセージが表示されます。しかし、マイページからすぐにログイン制限を解除できますので、ご安心ください。
プロファイルのダウンロードはできたのですが、接続テストをしたら「接続に失敗しました」の画面が出ました。どうすればいいですか？（iPhone または iPad の場合）［ベアーモバイルLite eSIMカンタン設定アプリ］,接続できないSIMが設定されている可能性があります。端末の「設定」→「モバイル通信」→「モバイルデータ通信」でベアーモバイルLiteの回線となる電話番号になっているか確認してみてください。
ベアーモバイルLiteから他社への移行手順を教えてください。［携帯電話番号ポータビリティ（MNP）］,マイページからMNP予約番号を取得し、その後、移行先のキャリアで手続きを行ってください。ベアーモバイルへの移行の場合、MNP予約番号の取得は不要です。移行先のキャリアによっては、MNP予約番号なしでオンラインだけで手続きが可能な場合もあります。
ベアーモバイルLiteでキャリア決済は利用できますか？,はい、ベアーモバイルLiteをご利用のお客様は「ベアーモバイルまとめ払い」をご利用いただけます。
ベアーモバイルLiteでスマートフォンの購入は可能ですか？,ベアーモバイルLiteではスマートフォンの販売は行っておりません。契約前に、お客様自身でスマートフォンをご用意ください。
ベアーモバイルLiteに変更したら、圏外表示になりました。どうすればよいですか？,APN設定の内容をご確認ください。詳細なAPN設定については、当社ウェブサイトをご覧ください。
ベアーモバイルLiteに変更したら、電話の発信/着信ができなくなりました。どうすればいいですか？［ベアーモバイルLite eSIMカンタン設定アプリ］,eSIMがOSに正しく設定されていない可能性があります。一度、デバイスを再起動してみてください。
ベアーモバイルLiteの基本料初月0円特典はいつから適用されますか？,乗り換えが完了した時点で適用されます。
ベアーモバイルLiteは海外製の通信端末でも利用可能ですか?,ベアーモバイルLiteが対応している端末であれば、海外製の端末でもご利用いただけます。
ベアーモバイルからの移行や、他社からの移行（MNP転入）による申し込み手続きについて教えてください。,現在ご契約中のキャリアによって、手続きの内容が異なります。
ベアーモバイルからベアーモバイルLiteに変更した場合、その月の請求はどうなりますか？,移行前の利用分は通常通り請求されますが、移行後の利用分は無料化対象外の請求を除き無料となります。
ベアーモバイルからベアーモバイルLiteに移行した場合、利用できなくなるサービスは何ですか？,ベアーモバイルで利用可能だった「ベアーモバイルWi-Fiスポット」や主要なオプションサービス、キャリアメールなどはベアーモバイルLiteでは利用できません。
ベアーモバイルからベアーモバイルLiteに移行した後、ベアーモバイルの最終請求金額をどのように確認すればよいですか？,移行後も90日間はMy ベアーモバイル/My ベアーモバイルで請求詳細を確認できますが、ログイン方法が変わることに注意してください。
ベアーモバイルからベアーモバイルLiteに移行しようとしたところ、「お客様の契約情報では申込受付できません。MNP予約番号を取得し、他社携帯番号会社から再度お申込みください。」というエラーメッセージが表示されました。どうすればいいですか？,現在のベアーモバイルの契約内容ではベアーモバイルLiteへの申し込みができません。詳細はベアーモバイルのカスタマーサポートにお問い合わせください。
ベアーモバイルからベアーモバイルLiteへの移行手順を教えてください。,ベアーモバイルからベアーモバイルLiteへの移行時、MNP予約番号の申し込みは不要です。ただし、ベアーモバイルの契約内容の確認とネットワーク暗証番号（4桁）の入力が必要なので、事前に確認してください。
ベアーモバイルからベアーモバイルLiteへ移行した場合、端末代金（分割支払金）はどうなりますか？,解約時に端末の分割支払金が残っている場合、ベアーモバイル側で支払いが完了するまで引き続き支払いが必要となります。
ベアーモバイルからベアーモバイルLiteへ移行すると解約料はかかりますか？,ベアーモバイルからベアーモバイルLiteへの移行の場合、「解約料0円特典」が適用され、解約料は発生しません。
ベアーモバイルから乗り換える場合、SIMロックの解除は必要ですか？,ベアーモバイルからベアーモバイルLiteへの乗り換えの際は、乗り換え前に使用していたベアーモバイル製品のSIMロック解除手続きを同時に行います。そのため、お客様からのSIMロック解除手続きは不要です。
ベアーモバイルの契約期間は引き継げますか？,申し訳ありませんが、ベアーモバイルLiteを契約すると、契約期間はリセットされます。
ベアーモバイルポイントからBearPayポイントへの変換方法を教えてください。,マイページのポイント管理画面から、変換したいポイント数を選択して変換できます。変換先は、契約回線と連携済みのBearPayアカウント、または特典付与先として設定済みのBearPayアカウントです。自動でポイントを変換する機能もご利用いただけます。
ベアーモバイルポイントの確認はどこでできますか？,ベアーモバイルLiteのマイページのポイントページまたは請求書でご確認いただけます。
マイページでBearPayの残高はどこで確認できますか？,マイページまたは「BearPayアプリ」で残高を確認することができます。
マイページで「ベアーモバイル ID」の確認方法を教えてください（解約済みの場合）。,ログイン画面の「IDを忘れた方」から「ベアーモバイル ID」を確認できます。
マイページでの支払方法の確認や変更はどうすればいいですか？,支払方法の確認や変更はマイページから行うことができます。
マイページでオプションサービスの確認/申込/解除はどうすればいいですか？,マイページにログインし、「オプションサービス変更」から手続きを行うことができます。
マイページでセキュリティ番号の入力を求められました。どうすればいいですか？,SMS（メール）で送られてきた3桁のセキュリティ番号をマイページに入力してください。
マイページで別の携帯電話番号でログインする方法を教えてください。,一度マイページからログアウトし、ログインしたいベアーモバイル ID（ベアーモバイルLiteの携帯電話番号または英数字のID）とマイページのパスワードを使用して再度ログインしてください。
マイページで料金の支払いをクレジットカードから口座振替に変更するにはどうすればいいですか？,マイページから口座振替の申し込みを行うか、支払方法変更申込書を取り寄せ、記入後に郵送してください。
マイページで料金の支払いを別のクレジットカードに変更するにはどうすればいいですか？,マイページにログイン後、「支払方法変更」から手続きを行ってください。
マイページで現在の支払い口座を別の口座に変更するにはどうすればいいですか？,マイページから口座振替の申し込みを行うか、支払方法変更申込書を取り寄せ、記入後に郵送してください。
マイページで通話オプションの変更方法を教えてください。,その手続きはマイページから行うことができます。
マイページについて詳しく教えてください。,マイページは、利用料金の確認や契約内容の確認・変更などが行える会員専用サービスです。
マイページのパスワードを確認する際に、4桁の暗証番号を3回間違えてしまいロックがかかりました。解除する方法はありますか？,夜間に自動解除されます。または、チャットサポートにご連絡ください。
マイページのログインパスワードの変更方法を教えてください。,マイページにログイン後、「アカウント管理」から手続きが可能です。
マイページのログイン時にパスワードを確認する方法を教えてください（契約中の場合）。,4桁の暗証番号が分かる場合、マイページのログイン画面にある「パスワードを忘れた方」からパスワードの再設定が可能です。
メールアドレスの移管についての解約方法を教えてください。,ベアーモバイルを契約していた場合でも、My ベアーモバイルから解約が可能です。
ログイン時にパスワードを確認する方法を教えてください（解約済みの場合）。,ログイン画面の「パスワードをお忘れの方」からパスワードを確認することができます。
一度ダウンロードしたeSIMプロファイルを削除してしまいました。どうすればよいですか？,eSIMプロファイルを一度削除すると、アプリケーションでのeSIM設定が続行できません。その場合、マイページからeSIMプロファイルの再発行を行い、マイページの手順に従って設定を行ってください。
一度解約したSIMカードで再契約することは可能ですか？,再契約はできません。新規に申し込みを行う必要があります。
中古の携帯電話機が盗品でないかどうかを確認したいです。,携帯電話機がネットワーク利用制限にかかっている場合、不正に取得された可能性があります。携帯電話機の製造番号（IMEI）を控え、ネットワーク利用制限がかかっていないか確認してください。
他社からの乗り換え（MNP転入）ができない場合はありますか？,現在の携帯電話会社の契約名義と、ベアーモバイルLiteでの契約名義が異なる場合、MNPでの申し込みはできません。名義を変更するか、現在の名義でベアーモバイルLiteに申し込む必要があります。
他社からベアーモバイルLiteに移行した場合、いつからサービスを利用できますか？,SIMカードの初期設定が完了次第、サービスを利用開始できます。申し込み完了後、最短で翌日にSIMカードを発送します。届いたSIMカードをスマートフォンに挿入し、初期設定を行ってください。
他社製の携帯電話をベアーモバイルLiteで使用する場合、SIMロックの解除は必要ですか？,はい、SIMロックがかかったままの製品は使用することができません。
住所変更の手続きはどうすればいいですか？,マイページから手続きを行うことができます。
利用可能なクレジットカードについて教えてください。,VISA・Mastercard・JCBのクレジットカードを登録できます。(AMEXはご利用いただけません)
利用状況や利用可能額の確認方法を教えてください。［ベアーモバイルまとめ払い］,マイページから利用状況を確認できます。
割引やキャンペーンの詳細をどこで確認できますか？,それらの詳細はマイページでご覧いただけます。
動作確認済みの携帯電話を購入したのに、SIMカードを挿入しても通信できないのはなぜですか？,ベアーモバイルLiteで通信を行うためには、SIMロック解除済みの端末であることと、通信設定が必要となります。
同一名義で何回線まで契約できますか？,同一名義での契約は最大10回線まで可能です。
問い合わせをしたい場合、どうすればいいですか？,カスタマーサポートやベアーモバイルLiteのLINE公式アカウントでチャットによる問い合わせが可能です。レギュラープランの方はベアーモバイルの店舗でも対応できます。対応店舗はホームページやチャットボットでご確認ください。
契約に必要なものは何ですか？,契約者本人の身分証明書、クレジットカード、メールアドレスを契約前にご用意ください。現在の電話番号を引き継ぐ場合は、現在の携帯電話会社からMNP予約番号を取得する必要があります。
契約内容の確認方法を教えてください。,ご契約内容（料金プランやキャンペーンなど）は、マイページから確認できます。
契約後に電話番号を変更することは可能ですか？,電話番号の変更は、マイページから契約者本人が手続きを行ってください。
契約時に登録したメールアドレスの確認・変更は可能ですか？,契約時に登録したメールアドレスの確認・変更は、マイページから行うことができます。
契約時に設定した4桁の暗証番号（交換機用暗証番号）が分からなくなりました。確認する方法はありますか？,チャットサポートにお問い合わせください。暗証番号を記載した書面を送付します。
契約者が亡くなった場合、何か手続きは必要ですか？,お手数をおかけしますが、「承継」または「解約」の手続きをお願いいたします。
契約者の名前を変更することは可能ですか？（改姓/改名/譲渡/名義変更/承継）,改姓/改名/譲渡/承継の手続きは受け付けています。
子供に携帯電話を持たせるために契約する場合、親名義で契約しても問題ないですか？,子供が使用する場合でも、契約者は親名義（法定代理人）で入力し、使用者に子供の情報を入力してください。本人確認書類は契約者のものをアップロードしてください。
家族名義の携帯電話を自分名義で移行できますか？［携帯電話番号ポータビリティ（MNP）］（他社 → ベアーモバイルLite）,他社からベアーモバイルLiteに移行する際、原則として他社の名義とベアーモバイルLiteの契約名義は同一である必要があります。
年齢情報提供機能・年齢認証（年齢確認）の設定方法を教えてください。,年齢情報を初めて提供する際には、各サイトで使用者が情報提供に同意する必要があります。年齢情報の提供に関する登録や設定はマイページから行えます。
店舗での申し込みは可能ですか？,「レギュラープラン」はベアーモバイルの店舗で申し込みが可能です。「スモールプラン」は店舗での申し込みは受け付けておりません、オンラインで行ってください。
必要書類のアップロード方法を教えてください。,SIMカードとeSIMの申し込みによって、アップロードの方法が異なります。
所持している携帯電話のSIMカードのサイズが分からないのですが。,お持ちのスマートフォンの取扱説明書やメーカーサイトを参照し、対応しているSIMカードのサイズを確認してください。ベアーモバイルLiteでは、標準SIM/マイクロSIM/ナノSIMの3種類のサイズに対応したマルチSIMを提供しています。適切なサイズが分かったら、そのサイズに切り取って使用します。
手続きに必要な手数料について教えてください。,新規契約や乗り換えなど、各種手続きには手数料は一切かかりません。
携帯電話の解約手続きはどのように行えばいいですか？,解約手続きの詳細は、当社の案内ページをご覧ください。
携帯電話を盗まれた、または紛失した場合、どうすればいいですか？（SIMカード/eSIMの再発行）,不正利用を防ぐため、まずはマイページまたは電話で回線の停止手続きを行ってください。
携帯電話料金の支払いに「BearPayの残高」を使用する方法を教えてください。,マイページから手続きが可能です。
携帯電話料金の支払い状況を確認する方法を教えてください。,支払い状況はマイページから確認できます。ただし、支払い期限日から約1週間は反映に時間がかかります。
支払いスケジュールについて教えてください。,毎月1日から末日までの利用料金を翌月26日（支払日が休日の場合は翌営業日）に請求します。
支払期限までに引き落としができなかった場合、どうすればいいですか？,再度の引き落としは行われませんので、後日送付される払込用紙（請求書）でお支払いください。BearPay請求書払いやマイページでのお支払い、指定口座への振り込みも可能です。
支払期限までに料金を支払わなかった場合、どうなりますか？,ベアーモバイルLiteが定めた時点で過去の請求分の支払いが確認できない場合、回線の利用停止または契約解除を行います。
支払期限を過ぎた料金をクレジットカードで支払うことは可能ですか？,支払期限を過ぎた料金もクレジットカードでお支払いいただけます。マイページからお手続きをお願いします。
料金の支払いを口座振替からクレジットカードへ変更する場合の手続き方法を教えてください。,マイページにログイン後、「支払方法変更」から手続きが可能です。
料金プランの変更方法を教えてください。,マイページから手続きが可能です。
新規で契約する際の手順を教えてください。,新たに電話番号を取得する場合、他社からの番号移行（MNP転入）、ベアーモバイルからの移行の場合で、それぞれ手続きの流れが異なります。
新規加入時に必要な書類は何ですか？,本人確認のため、運転免許証などの身分証明書が必要となります。
新規契約後の初回請求について教えてください。,基本料金として、「レギュラープラン」は月額2728円、「スモールプラン」は月額990円が必要となります。通話オプションや持込端末保証オプションを選択した場合、それらの月額料金が追加されます。初月の料金は日割り計算となります。
新規申込時に、本人確認書類に記載の住所と異なる住所にSIMカードを送付することは可能ですか？,SIMカードの送付は、本人確認書類に記載された住所に限ります。それ以外の住所への送付はできません。
月途中でサービスを開始した場合、月額料金は日割り計算になりますか？,はい、料金プランや通話定額などのオプションサービスの月額料金は日割り計算となります。
月途中で解約した場合、料金は日割り計算になりますか？,月途中での解約については日割り計算は行いません。「持込端末保証 supported by AppleCare Services」「持込端末保証」については日割り計算となります。
未成年者でも契約は可能ですか？,18歳以上の方であれば契約が可能です。
本人確認書類のアップロードができません。どうすればよいですか？,ご利用のブラウザが推奨ブラウザでない可能性があります。ご利用環境を再度ご確認ください。
機種変更をするにはどうしたらいいですか？,ベアーモバイルLiteでは機種変更用の携帯電話の販売は行っておりません。お客様自身でSIMフリー端末をご用意ください。
毎月の請求締め日と支払期限はいつですか？,請求締め日は毎月末日、お支払期限は翌月26日（支払日が休日の場合は翌営業日）です。クレジットカードでのお支払いの場合、カード会社の規定に基づく振替日が引き落とし日となります。
法人契約は可能ですか？,法人のお客様からの申し込みは受け付けておりません。
海外からの申し込みや海外への配送は可能ですか？,それらは対応しておりません。
海外から携帯電話の解約手続きは可能ですか？,国際ローミングに対応した携帯電話をお持ちの場合、案内ページから手続きが可能です。国際ローミングに未対応の場合、海外へ出発する前に解約手続きを行ってください。
現在加入している割引やキャンペーンの確認方法を教えてください。,マイページから確認できます。
申し込みをキャンセルしたい場合、どうすればいいですか？,キャンセルは一部条件下で可能です。ただし、申し込み者以外からのキャンセル申し出は受け付けておりませんのでご了承ください。
申し込み中にエラーが発生し、進行できなくなりました。どうすればいいですか？,ご利用のブラウザが推奨されていない可能性があります。ご利用環境を再度ご確認ください。
申し込み後、いつからサービスを利用できますか？,契約するSIMの種類により、利用開始日は異なります。
申し込み時に間違った情報を入力してしまった場合、どうすればいいですか？,契約が完了する前であれば、申し込みをキャンセルすることができます。キャンセルは当社のウェブサイトから受け付けています。契約が完了した場合、完了の通知メールが届きます。そのメールを受け取った後のキャンセルはできません。
緊急速報メールの受信設定・変更方法を教えてください。,緊急速報メールの受信設定は、ご利用の機種により異なります。
自分が持っている携帯電話でも使えますか？,動作確認を行った携帯電話機であれば、ご利用いただけます。
自宅以外への配送・転送は可能ですか？,本人確認書類に記載されている住所以外への配送・転送、宅配BOXへの配送は行っておりません。
解約後、マイページにログインできなくなりました。どうすればいいですか？,解約や他社への乗り換え（MNP転出）、またはベアーモバイルへの乗り換え後は、解約日以降ベアーモバイル IDでログインが必要となります。
解約後の請求金額の確認方法を教えてください。,解約後90日以内のお客様は、マイページで請求金額の詳細を確認できます。解約後91日以降のお客様は、マイページから請求書/内訳明細書をダウンロードできます。
解約時にSIMカードを返却する必要はありますか？,解約時のSIMカード返却は不要です。お客様ご自身で破棄をお願いします。
解約時に契約解除料は発生しますか？,解約時の契約解除料は発生しません。
認証コードを入力する前に「認証コードを入力」の画面を閉じてしまったのですが、どうすればいいですか？［ベアーモバイルLite eSIMカンタン設定アプリ］,「メールで受け取る」または「自動音声通話で受け取る」を再度タップすると、認証コード入力画面に戻ります。
認証コードを間違えて入力してしまったのですが、どうすればいいですか？［ベアーモバイルLite eSIMカンタン設定アプリ］,正しい認証コードを再入力することができます。「メールで受け取る」または「自動音声通話で受け取る」を再度タップして認証コードを受け取ってください。
請求書が届きました。「BearPay」で支払うことはできますか？,「BearPay請求書払い」をご利用いただけます。お支払いは、BearPayマネーを使用できます。
迷惑メールが届く場合の対策を教えてください。,マイページにログインし、「迷惑メール対策」から設定が可能です。
迷惑メール設定の変更方法を教えてください。［メールアドレス移管］,ベアーモバイルメール（@bearmobile.ne.jp）では迷惑メール設定の変更が可能です。その他のメールアドレスでは設定変更はできません。
通信が「3G」と表示されるのはなぜですか？,iPhone/iPad の通信設定が正しく行われていない可能性があります。設定を再度ご確認ください。
通信速度が遅くなった場合の対処法を教えてください。,データ通信量の上限に達して速度が制限された場合、マイページから追加のデータを購入することで通常の速度に戻すことが可能です。
通信速度制限の通知メールの設定方法を教えてください。,初期設定ではSMSでの通知が「希望する」に設定されています。通知の有無や通知先の変更、追加を行いたい場合は、マイページから手続きが可能です。
通常速度に戻す設定を「オートチャージON（快適モード）」または「オートチャージOFF（制限モード）」に変更するにはどうすればいいですか？,その設定はマイページから変更可能です。
通話ができない（圏外となる）場合、どう対処すればいいですか？,よくある質問のページなどで対処法をご確認いただけます。
通話が途切れる場合、どう対処すればいいですか？,電源を一度切って再度入れ直す、SIMカードを再度挿し直すなどの対処法があります。
通話や着信ができない場合、考えられる原因は何ですか？,支払いが確認できない場合や、設定による停止などが原因となることがあります。具体的な対処方法は原因により異なります。
通話料金について詳しく教えてください。［レギュラープラン/スモールプラン］,「レギュラープラン」「スモールプラン」では、国内通話は22円/30秒が必要となります。「通話定額」（月額980円）を選択すれば、国内通話が無制限になります。ただし、一部無料対象外の通話があります。
通話明細を書面で確認することは可能ですか？,マイページからPDFファイルを印刷するか、郵送でお取り寄せすることで通話明細を確認できます。郵送の場合、1ヵ月ごとに220円（税込）の手数料と84円（税込）の送料が必要です。
電波の状態が良いはずなのに、「接続できていません」が表示されます。どうすればいいですか？［ベアーモバイルLite eSIMカンタン設定アプリ］,一時的な問題の可能性があります。一度、デバイスを再起動してみてください。
［eSIM］APN設定（モバイルネットワーク設定）を行ったにも関わらず、通信ができないのですが？,eSIMプロファイルのダウンロードやAPN設定が正しく行われていない可能性が考えられます。
［iPhone/iPad］「圏外」や「検索中」と表示され、接続できません。対処法を教えてください。,iPhone/iPadの一時的な不具合で「圏外」や「検索中」と表示されることがあります。
